Inst #;School Name;2015 Decile;"2015 
Step";Decile Change;Step Change;"July 2014 Funding roll
Years 9+";"July 2014 Funding roll
Total ";School Type;Authority;Territorial Local Authority;Regional Council;Ministry of Education Local Office;General Electorate;M?ori Electorate;Telephone;Fax;Email;Principal;School website;Physical address;Suburb;City;Postal Address 1;Postal Address 2;Postal Address 3;Postal Code;Urban Area;School Type;Definition;Authority;Gender of Students;Education Region;Census Area Unit;Ward;Latitude;Longitude ;Total School Roll (Sep15);European/ Pakeha;Maori;Pasifika;Asian;MELAA;Other;International Students
1084;Portland School;1;B;-1;-4;0;35;Contributing;State;Whangarei District;Northland Region;Whangarei;Whangarei;Te Tai Tokerau;09 4322897;0;admin@portland.school.nz;Jodi Edwards;0;10 Portland School Road;0;Whangarei;10 Portland School Road RD 8;0;Whangarei;178;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Otaika-Portland;Bream Bay Ward;-35.798.856;174.326.546;33;4;27;2;0;0;0;0
3805;Portobello School;8;P;0;0;0;98;Full Primary;State;Dunedin City;Otago Region;Dunedin;Dunedin South;Te Tai Tonga;03 4780605;03 4780605;office@portobello.school.nz;Winnie Cornelissen;http://portobello.school.nz;30 Harington Point Road;Portobello;Dunedin;30 Harington Point Road;Portobello;Dunedin;9014;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Broad Bay-Portobello;Central Ward;-45.838.224;1.706.572;92;53;30;5;4;0;0;0
2966;Postgate School;3;H;-1;-2;0;309;Full Primary;State;Porirua City;Wellington Region;Wellington;Mana;Te Tai Hauauru;04 2359358;04 2359232;admin@postgate.school.nz;Adam Campbell;http://www.postgate.school.nz;Staithes Drive North;Whitby;Porirua;Staithes Drive North;Whitby;Porirua;5024;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Paremata-Postgate;Northern Ward;-41.112.681;174.880.045;319;35;129;126;22;5;2;0
2649;Potaka School;2;E;1;2;0;12;Full Primary;State;Gisborne District;Gisborne Region;Napier;East Coast;Ikaroa-Rawhiti;06 8644436;06 8644435;potaka@xtra.co.nz;Claudine Okwara;0;State Highway 35;0;Hicks Bay;Te Araroa Road RD 3;0;Opotiki;3199;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;East Cape;Matakaoa Ward;-3.757.326;178.142.355;11;4;7;0;0;0;0;0
2650;Poukawa School;6;N;3;5;0;92;Full Primary;State;Hastings District;Hawkes Bay Region;Napier;Tukituki;Ikaroa-Rawhiti;06 8748880;06 8748812;office@poukawa.school.nz;Alan Dustow;http://www.poukawa.school.nz;Poukawa Road;0;Hastings;107 Poukawa Road RD 11;0;Hastings;4178;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Poukawa;Kahuranaki Ward;-39.759.146;17.672.327;100;58;39;0;2;1;0;0
1085;Pouto School;2;F;-2;-4;0;18;Full Primary;State;Kaipara District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4395251;09 4395251;admin@pouto.school.nz;Margie Ormsby;0;11 Opuna Road;0;Te Kopuru;11 Opuna Road RD 1;0;Te Kopuru;391;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Kaipara Coastal;West Coast-Central Ward;-3.628.565;174.101.868;23;4;19;0;0;0;0;0
3478;Prebbleton School;10;Z;0;0;0;463;Full Primary;State;Selwyn District;Canterbury Region;Christchurch;Selwyn;Te Tai Tonga;03 3496553;03 3499522;admin@prebbleton.school.nz;John Russell (acting);http://www.prebbleton.school.nz;Blakes Road;0;Prebbleton;Blakes Road;0;Prebbleton;7604;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Prebbleton;Springs Ward;-43.577.074;172.513.059;449;400;22;5;13;1;8;0
1447;Prospect School;2;D;-1;-4;0;325;Contributing;State;Auckland- Waitakere Ranges;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8185219;09 8184780;admin@prospect.school.nz;Nick Shaw (acting);http://www.prospect.school.nz/;Rosier Road;Glen Eden;Auckland;76 Rosier Road;Glen Eden;Waitakere;602;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Woodglen;Waitakere Ward;-36.915.184;174.639.896;347;34;97;174;23;16;3;0
1440;Pt Chevalier School;10;Z;2;2;0;675;Contributing;State;Auckland- Albert-Eden;Auckland Region;Auckland South;Mt Albert;Tamaki Makaurau;09 8461359;09 8462911;0;Sandra Aitken;http://www.ptchev.school.nz;Te Ra Road;Point Chevalier;Auckland;Te Ra Road;Point Chevalier;Auckland;1022;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Point Chevalier East;Albert-Eden-Roskill Ward;-36.860.666;174.704.211;722;567;50;44;48;11;2;0
1441;Pt England School;1;A;0;0;0;625;Full Primary;State;Auckland- Maungakiekie-Tamaki;Auckland Region;Auckland South;Maungakiekie;Tamaki Makaurau;09 5276247;09 5276509;admin@ptengland.school.nz;Russell Burt;http://www.ptengland.school.nz;130 Pt England Road;Panmure;Auckland;130 Pt England Road;Point England;Auckland;1072;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Point England;Maungakiekie-Tamaki Ward;-36.882.824;174.866.626;621;21;208;357;23;7;5;0
1902;Puahue School;8;P;1;1;0;119;Contributing;State;Waipa District;Waikato Region;Hamilton;Taranaki-King Country;Hauraki-Waikato;07 8721838;07 8721836;office@puahue.school.nz;Scott Wilson;http://www.puahue.school.nz;573 Puahue Road;0;Te Awamutu;573 Puahue Road RD 1;0;Te Awamutu;3879;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Waikato;Rotoorangi;Kakepuku Ward;-38.036.459;175.409.281;128;105;19;0;2;0;2;0
1448;Puhinui School;3;H;0;-1;0;587;Contributing;State;Auckland- Otara-Papatoetoe;Auckland Region;Auckland South;Manurewa;Tamaki Makaurau;09 2788703;09 2776911;office@puhinui.school.nz;Kevin Hornby;http://www.puhinui.school.nz/;116 Puhinui Road;Papatoetoe;Auckland;116 Puhinui Road;Papatoetoe;Auckland;2104;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Puhinui South;Manukau Ward;-36.985.961;174.866.042;588;30;95;138;317;6;2;0
2846;Pukeatua Primary School (Wainuiomata);3;G;0;-2;0;184;Full Primary;State;Lower Hutt City;Wellington Region;Wellington;Hutt South;Ikaroa-Rawhiti;04 9398356;04 9397681;info@pukeatua.school.nz;Jennifer Adam;http://www.pukeatua.school.nz;Frederick Street;Wainuiomata;Lower Hutt;19 Frederick Street;Wainuiomata;Lower Hutt;5014;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Glendale;Wainuiomata Ward;-41.254.031;17.494.952;193;10;154;26;1;2;0;0
1903;Pukeatua School;8;P;1;1;0;64;Full Primary;State;Waipa District;Waikato Region;Hamilton;Taranaki-King Country;Te Tai Hauauru;07 8724862;07 8724300;office@pukeatuaschool.co.nz;John McLean;http://www.pukeatuaschool.co.nz;Arapuni Road;0;Pukeatua;Arapuni Road RD 1;0;Pukeatua;3880;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Rotongata;Kakepuku Ward;-38.064.773;175.558.005;66;51;13;1;1;0;0;0
2651;Pukehamoamoa School;7;O;4;6;0;99;Full Primary;State;Hastings District;Hawkes Bay Region;Napier;Tukituki;Ikaroa-Rawhiti;06 8743830;06 8743840;office@puke.school.nz;Sean Moore;http://www.pukehamoamoa.school.nz;11 Matapiro Road RD 9;0;Hastings;11 Matapiro Road RD 9;0;Hastings;4179;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Sherenden-Puketapu;Mohaka Ward;-39.547.143;176.682.763;99;58;39;0;0;2;0;0
1904;Pukehina School;5;M;-2;-8;0;23;Full Primary;State;Western Bay of Plenty District;Bay of Plenty Region;Rotorua;East Coast;Waiariki;07 5333869;07 5333869;office@pukehina.school.nz;Roger Reid;0;1762 Old Coach Road;0;Pukehina;1762 Old Coach Road RD 6;0;Te Puke;3186;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Pongakawa;Maketu Ward;-37.846.067;176.542.846;16;2;14;0;0;0;0;0
2652;Pukehou School;6;N;1;1;0;96;Full Primary;State;Central Hawke's Bay District;Hawkes Bay Region;Napier;Tukituki;Ikaroa-Rawhiti;06 8568169;06 8568470;office@pukehou.school.nz;Anthony Eaglestone;http://www.pukehou.school.nz;174 S H 2 South Of Hastings;0;Pukehou;174 State Highway 2 RD 1;0;Otane;4276;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Tikokino;Aramoana-Ruahine Ward;-39.834.399;176.634.291;107;65;38;0;3;0;1;0
1449;Pukekawa School;8;P;0;0;0;99;Contributing;State;Waikato District;Waikato Region;Auckland South;Waikato;Hauraki-Waikato;09 2334784;09 2334783;office@pukekawa.school.nz;Karen McCulloch;http://www.pukekawa.school.nz;803 Highway 22;0;Tuakau;803 Highway 22 RD 1;0;Tuakau;2696;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Onewhero;Onewhero Ward;-37.341.765;174.986.308;103;77;17;2;4;2;1;0
1450;Pukekohe East School;10;Z;1;1;0;151;Contributing;State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2388708;09 2382481;admin@peps.school.nz;Merillees Nicholls;http://www.peps.school.nz;137 Runciman Road;0;Pukekohe;137 Runciman Road RD 2;0;Pukekohe;2677;Secondary Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Paerata-Cape Hill;Franklin Ward;-37.184.496;17.494.503;172;137;15;4;10;4;2;0
103;Pukekohe High School;6;N;0;0;1547;1547;Secondary (Year 9-15);State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2386089;09 2386084;exec@pukekohehigh.school.nz;Ian McKinnon;http://www.pukekohehigh.school.nz;Harris Street;0;Pukekohe;PO Box 306;0;Pukekohe;2340;Secondary Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Co-Educational;Auckland;Bledisloe Park;Franklin Ward;-37.204.552;174.905.826;1602;973;318;110;141;18;5;37
1451;Pukekohe Hill School;5;M;-1;-1;0;620;Contributing;State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2386374;09 2387445;admin@pukekohehill.school.nz;Graeme Rix;http://www.pukekohehill.school.nz;12 Green Lane;0;Pukekohe;12 Green Lane;0;Pukekohe;2120;Secondary Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Pukekohe West;Franklin Ward;-37.211.549;174.892.292;656;344;168;56;69;17;2;0
1452;Pukekohe Intermediate;5;M;-1;-1;0;634;Intermediate;State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2386568;09 2385532;admin@pukekoheint.school.nz;Gary Sweeney;http://www.pukekoheint.school.nz;44-74 Queen Street;0;Pukekohe;PO Box 768;0;Pukekohe;2340;Secondary Urban Area;Intermediate;Not Applicable;State: Not integrated;Co-Educational;Auckland;Bledisloe Park;Franklin Ward;-372.036;174.901.574;658;375;164;46;50;19;3;1
1453;Pukekohe North School;1;A;0;0;0;185;Full Primary;State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2388552;09 2384165;teraki@ihug.co.nz;Robyn Withers-Lauer;http://www.pukekohenorth.school.nz;Princes Street;0;Pukekohe;Princes Street;0;Pukekohe;2120;Secondary Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Pukekohe North;Franklin Ward;-37.195.792;174.895.974;206;1;175;29;0;0;1;0
1905;Pukemiro School;1;A;-1;-3;0;59;Full Primary;State;Waikato District;Waikato Region;Hamilton;Waikato;Hauraki-Waikato;07 8284769;07 8284969;office@pukemiro.school.nz;Linda Tomuli;http://www.pukemiroschool.co.nz;John Street;Pukemiro;Huntly;Cmb A8 RD 1;0;Huntly;3771;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Waikato Western Hills;Whaingaroa Ward;-37.622.886;175.033.744;52;2;49;1;0;0;0;0
1086;Pukenui School (Kaitaia);5;M;0;0;0;81;Full Primary;State;Far North District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4098812;09 4098830;office@pukenuischool.ac.nz;Carolyn Smith;http://www.schoolground.co.nz/pukenui_school_kaitaia;Lamb Road;0;Pukenui;Lamb Road RD 4;0;Kaitaia;484;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Houhora;Te Hiku Ward;-34.817.188;173.116.469;90;32;56;1;0;1;0;0
1906;Pukenui School (Te Kuiti);3;G;1;1;0;165;Full Primary;State;Waitomo District;Waikato Region;Hamilton;Taranaki-King Country;Te Tai Hauauru;07 8787727;07 8787471;office@pukenui.school.nz;Raewyn Jackson;http://www.pukenui.school.nz;King Street West;0;Te Kuiti;King Street West;0;Te Kuiti;3910;Minor Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Te Kuiti;Te Kuiti Ward;-38.341.451;175.160.672;163;27;124;10;0;0;2;0
2428;Pukeokahu School;9;Q;0;0;0;11;Full Primary;State;Rangitikei District;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3880529;0;0;Tana Klaricich;http://www.pukeokahu.school.nz;84 Matawhero Road;0;Pukeokahu;Matawhero Road RD 2;0;Taihape;4792;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Moawhango;Taihape Ward;-39.615.968;17.600.161;13;7;6;0;0;0;0;0
1454;Pukeoware School;7;O;-1;-1;0;191;Full Primary;State;Waikato District;Waikato Region;Auckland South;Waikato;Hauraki-Waikato;09 2359443;09 2359013;admin@pukeoware.school.nz;Eamonn Kelly;http://www.pukeoware.school.nz/;479 Baldhill Road;0;Waiuku;479 Bald Hill Road RD 1;0;Waiuku;2681;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Otaua;Awaroa ki Tuakau Ward;-37.242.601;174.774.925;190;146;31;5;8;0;0;0
1087;Pukepoto School;1;B;-1;-2;0;45;Contributing;State;Far North District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4094557;09 409 4567;pukepoto-school@xtra.co.nz;Barry Murray;http://www.pukepoto.school.nz/;Awaroa Road;0;Pukepoto;818 Kaitaia-Awaroa Road RD 1;0;Kaitaia;481;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Herekino;Te Hiku Ward;-35.159.075;173.213.724;58;1;54;2;1;0;0;0
4003;Pukerau School;7;O;-1;-1;0;44;Contributing;State;Gore District;Southland Region;Invercargill;Clutha-Southland;Te Tai Tonga;03 2053857;03 2053857;office@pukerau.school.nz;Colleen Watt;0;Pukerau Street;0;Gore;24 Pukerau Street RD 2;0;Gore;9772;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Kaiwera;Kaiwera-Waimumu Ward;-46.097.802;169.095.347;42;34;5;0;2;0;1;0
2967;Pukerua Bay School;10;Z;0;0;0;174;Full Primary;State;Porirua City;Wellington Region;Wellington;Mana;Te Tai Hauauru;04 2399744;0;office@pukeruabay.school.nz;Mary Jones;http://www.pukeruabay.school.nz;Rawhiti Road;Pukerua Bay;Porirua;89 Rawhiti Road;0;Pukerua Bay;5026;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Pukerua Bay;Northern Ward;-41.035.405;174.885.228;181;138;37;2;1;3;0;0
1907;Puketaha School;7;O;-1;-1;0;262;Full Primary;State;Waikato District;Waikato Region;Hamilton;Waikato;Hauraki-Waikato;07 8243870;07 8243873;office@puketaha.school.nz;Geoffrey Booth;http://www.puketaha.school.nz/;Puketaha Road;Puketaha;Hamilton;Puketaha Road RD 1;0;Hamilton;3281;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Gordonton;Hukanui-Waerenga Ward;-37.720.062;175.327.519;284;204;44;4;29;2;1;0
2654;Puketapu School (Hawkes Bay);10;Z;1;1;0;226;Full Primary;State;Hastings District;Hawkes Bay Region;Napier;Napier;Ikaroa-Rawhiti;06 8447837;06 8443923;office@puketapuhb.school.nz;Christopher Fox;http://www.puketapuhb.school.nz;708 Puketapu Road;Puketapu;Napier;C/- P D C;Puketapu Postcentre;Napier;4121;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Sherenden-Puketapu;Mohaka Ward;-39.506.323;176.791.194;225;193;27;1;0;1;0;3
2223;Puketapu School (New Plymouth);4;L;0;1;0;201;Full Primary;State;New Plymouth District;Taranaki Region;Whanganui;New Plymouth;Te Tai Hauauru;06 7550973;0;office@puketapu.school.nz;Michael Johnson;http://www.puketapu.school.nz;Dillon Drive;Bell Block;New Plymouth;Dillon Drive;Bell Block;New Plymouth;4312;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Bell Block;New Plymouth City Ward;-39.025.257;17.415.163;224;104;81;13;16;7;3;0
1908;Pukete School;5;M;-1;-1;0;420;Contributing;State;Hamilton City;Waikato Region;Hamilton;Hamilton West;Hauraki-Waikato;07 8494352;07 8494285;office@pukete.school.nz;Gavin Oliver;http://www.puketeschool.co.nz;Pukete Road;Pukete;Hamilton;Pukete Road;Pukete;Hamilton;3200;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Waikato;Pukete;West Ward;-37.745.151;175.240.435;437;278;109;12;32;6;0;0
1455;Puni School;5;M;0;0;0;208;Contributing;State;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2387403;09 2382547;admin@puni.school.nz;Haydon Brill;http://www.puni.school.nz;Waiuku Road;Puni;Pukekohe;Waiuku Road RD 3;0;Pukekohe;2678;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Patumahoe;Franklin Ward;-37.232.363;174.854.579;206;107;57;22;18;2;0;0
3807;Purakaunui School;10;Z;4;4;0;16;Full Primary;State;Dunedin City;Otago Region;Dunedin;Dunedin North;Te Tai Tonga;03 4821026;03 4821912;office@purakaunui.school.nz;Tim Cook;http://www.purakaunui.school.nz;8 Mihiwaka Station Road RD 1;Port Chalmers;Purakanui;8 Mihiwaka Station Road RD 1;0;Port Chalmers;9081;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Evansdale;Waikouaiti Coast-Chalmers Ward;-45.772.776;170.631.812;13;11;1;0;1;0;0;0
1911;Puriri School;8;P;1;1;0;23;Full Primary;State;Thames-Coromandel District;Waikato Region;Hamilton;Coromandel;Hauraki-Waikato;07 8681031;07 8681031;office@puriri.school.nz;Jaimee Price;http://puririschool.com;Puriri Valley Road;0;Thames;16 Puriri Valley Road RD 1;0;Thames;3578;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Hikuai;Thames Ward;-37.229.337;175.639.129;23;16;7;0;0;0;0;0
1089;Purua School;7;O;2;2;0;25;Full Primary;State;Whangarei District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4335841;09 4335842;admin@puruaschool.co.nz;Autumn Ede;http://www.puruaschool.co.nz/;Irvine Road;Purua;Whangarei;Irvine Road RD 6;0;Whangarei;176;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Opouteke-Tanekaha;Hikurangi-Coastal Ward;-35.632.312;174.108.323;29;22;7;0;0;0;0;0
494;Putaruru College;4;J;0;0;280;380;Secondary (Year 7-15);State;South Waikato District;Waikato Region;Hamilton;Taupo;Te Tai Hauauru;07 8838323;07 8838354;office@putarurucollege.school.nz;Michael Ronke;0;Junction Street;0;Putaruru;PO Box 210;0;Putaruru;3443;Minor Urban Area;Secondary (Year 7-15);Not Applicable;State: Not integrated;Co-Educational;Waikato;Putaruru;Putaruru Ward;-3.804.016;175.786.837;381;221;138;2;10;6;4;0
1658;Putaruru Primary School;2;D;0;-1;0;186;Contributing;State;South Waikato District;Waikato Region;Hamilton;Taupo;Te Tai Hauauru;07 8837166;07 8837226;reception@putaruru.school.nz;Patricia Scown;http://www.putaruru.school.nz;Kennedy Drive;0;Putaruru;PO Box 180;0;Putaruru;3443;Minor Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Waikato;Putaruru;Putaruru Ward;-38.059.323;175.779.072;191;56;129;3;1;0;2;0
2657;Putere School;2;F;0;2;0;10;Full Primary;State;Wairoa District;Hawkes Bay Region;Napier;Napier;Ikaroa-Rawhiti;06 8386762;06 8386761;putere.school@xtra.co.nz;Simon Greening;0;Putere Road;Putere;Wairoa;2254 Putere Road RD 4;0;Raupunga;4189;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Maungataniwha;Area Outside Ward;-38.943.664;177.027.722;8;6;2;0;0;0;0;0
2658;Putorino School;4;L;0;2;0;12;Full Primary;State;Hastings District;Hawkes Bay Region;Napier;Napier;Ikaroa-Rawhiti;06 8397336;06 8397337;admin@putorino.school.nz;Vivienne Wallace;0;27 Waikare Road;0;Putorino;27 Waikare Road RD 1;0;Kotemaori;4188;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Tutira;Mohaka Ward;-39.134.348;17.700.688;14;8;6;0;0;0;0;0
1916;Pyes Pa Road School;9;Q;0;0;0;163;Full Primary;State;Western Bay of Plenty District;Bay of Plenty Region;Rotorua;Bay of Plenty;Waiariki;07 5430064;07 5430938;administration@pyespa.school.nz;Michelle Thurlow;http://www.pyespa.school.nz;Pyes Pa Road;0;Pyes Pa;Pyes Pa Road RD 3;0;Tauranga;3173;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Bay of Plenty/Rotorua/Taupo;Kaimai;Kaimai Ward;-37.819.257;176.125.864;158;115;31;7;0;3;2;0
287;Queen Charlotte College;6;N;2;4;251;343;Secondary (Year 7-15);State;Marlborough District;Marlborough Region;Nelson;Kaikoura;Te Tai Tonga;03 5736558;03 5736559;admin@qcc.school.nz;Thomas Parsons;http://www.qcc.school.nz;173 Waikawa Road;0;Picton;173 Waikawa Road;0;Picton;7220;Minor Urban Area;Secondary (Year 7-15);Not Applicable;State: Not integrated;Co-Educational;Nelson/Marlborough/West Coast;Waikawa;Marlborough Sounds Ward;-41.279.741;17.402.315;370;255;96;7;4;1;0;7
201;Queen Elizabeth College;3;G;0;-1;207;207;Secondary (Year 9-15);State;Palmerston North City;Manawatu-Wanganui Region;Whanganui;Palmerston North;Te Tai Hauauru;06 3589033;06 3584156;pearl@qec.school.nz;Michael Houghton;http://www.qec.school.nz;Rangitikei Street;0;Palmerston North;PO Box 4047;Manawatu Mail Centre;Palmerston North;4442;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Palmerston North Hospital;Papaioea Ward;-40.346.901;175.604.574;224;72;111;15;23;1;2;0
384;Queens High School;5;M;0;0;403;403;Secondary (Year 9-15);State;Dunedin City;Otago Region;Dunedin;Dunedin South;Te Tai Tonga;03 4557212;03 4558644;qhs@queens.school.nz;Di Carter;http://www.queens.school.nz;195 Surrey Street;St Clair;Dunedin;195 Surrey Street;Saint Clair;Dunedin;9012;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Girls School;Otago/Southland;Forbury;Central Ward;-4.590.402;170.491.395;376;240;89;24;7;6;4;6
3479;Queenspark School;8;P;0;0;0;529;Full Primary;State;Christchurch City;Canterbury Region;Christchurch;Christchurch East;Te Tai Tonga;03 3831578;03 3830003;admin@queenspark.school.nz;Ross Willocks;http://www.queenspark.school.nz;222 Queenspark Drive;Parklands;Christchurch;222 Queenspark Drive;Parklands;Christchurch;8083;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Parklands;Burwood-Pegasus Ward;-43.473.158;172.695.985;553;456;57;17;18;5;0;0
4005;Queenstown School;10;Z;0;0;0;664;Full Primary;State;Queenstown-Lakes District;Otago Region;Dunedin;Clutha-Southland;Te Tai Tonga;03 4429120;03 4429543;admin@queenstown.school.nz;Fiona Cavanagh;http://www.queenstown.school.nz;20 Robins Road;0;Queenstown;20 Robins Road;0;Queenstown;9300;Secondary Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Queenstown Bay;Queenstown-Wakatipu Ward;-45.027.455;168.659.531;654;444;49;12;104;18;19;8
2429;Raetihi Primary School;2;D;1;1;0;189;Full Primary;State;Ruapehu District;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3854402;06 3854166;0;Kawana Wallace;0;Grey Street;0;Raetihi;PO Box 88;0;Raetihi;4646;Minor Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Raetihi;Waimarino-Waiouru Ward;-39.431.444;175.278.645;213;51;158;3;0;1;0;0
125;Raglan Area School;4;L;0;2;114;443;Composite (Year 1-15);State;Waikato District;Waikato Region;Hamilton;Taranaki-King Country;Hauraki-Waikato;07 8258140;07 8258659;principal@raglanarea.school.nz;Malcolm Cox;http://www.raglanarea.school.nz;Norrie Avenue;0;Raglan;PO Box 80;0;Raglan;3265;Minor Urban Area;Composite (Year 1-15);Not Applicable;State: Not integrated;Co-Educational;Waikato;Raglan;Raglan Ward;-37.807.418;174.866.613;460;181;265;2;9;2;1;0
1679;Rahotu School;5;M;-1;-1;0;116;Full Primary;State;South Taranaki District;Taranaki Region;Whanganui;New Plymouth;Te Tai Hauauru;06 7638658;06 7638472;admin@rahotu.school.nz;Brigitte Luke;http://www.rahotu.school.nz;5825 South Road;0;Rahotu;5825 South Road;Rahotu;Taranaki;4684;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Rahotu;Egmont Plains Ward;-39.325.024;173.802.899;132;79;51;0;2;0;0;0
291;Rai Valley Area School;5;M;-1;-1;30;86;Composite (Year 1-15);State;Marlborough District;Marlborough Region;Nelson;Kaikoura;Te Tai Tonga;03 5716016;03 5716336;office@rai.school.nz;Angela Sloane;http://www.rai.school.nz;6700 State Highway 6;0;Rai Valley;6700 State Highway 6 RD 1;0;Rai Valley;7194;Rural Area;Composite (Year 1-15);Not Applicable;State: Not integrated;Co-Educational;Nelson/Marlborough/West Coast;Marlborough Sounds Terrestrial;Marlborough Sounds Ward;-41.234.081;17.358.169;95;75;19;0;0;0;1;0
3480;Rakaia School;6;N;2;3;0;197;Full Primary;State;Ashburton District;Canterbury Region;Christchurch;Selwyn;Te Tai Tonga;03 3027113;03 3027917;principal@rakaia.school.nz;Mark Ellis;http://www.rakaia.school.nz;Dunford Street;0;Rakaia;33 Dunford Street;0;Rakaia;7710;Minor Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Rakaia;Eastern Ward;-43.751.468;172.022.787;207;146;20;22;15;4;0;0
